,state,drug_name,year,grams
50,ALABAMA,BUTALBITAL,2015,33584.5
51,ALABAMA,COCAINE,2006,582.49
52,ALABAMA,COCAINE,2007,571.33
53,ALABAMA,COCAINE,2008,951.58
54,ALABAMA,COCAINE,2009,465.61
55,ALABAMA,COCAINE,2010,441.58
56,ALABAMA,COCAINE,2011,378.51
57,ALABAMA,COCAINE,2012,348.38
58,ALABAMA,COCAINE,2013,340.8
59,ALABAMA,COCAINE,2014,312.88
60,ALABAMA,COCAINE,2015,251.41
61,ALABAMA,CODEINE,2006,220785.5
62,ALABAMA,CODEINE,2007,228856.67
63,ALABAMA,CODEINE,2008,368548.43
64,ALABAMA,CODEINE,2009,202545.2
65,ALABAMA,CODEINE,2010,191261.22
66,ALABAMA,CODEINE,2011,217143.37
67,ALABAMA,CODEINE,2012,205968.23
68,ALABAMA,CODEINE,2013,190614.11
69,ALABAMA,CODEINE,2014,197558.25
70,ALABAMA,CODEINE,2015,254199.27
71,ALABAMA,D-METHAMPHETAMINE,2006,250.12
72,ALABAMA,D-METHAMPHETAMINE,2007,287.09
73,ALABAMA,D-METHAMPHETAMINE,2008,352.68
74,ALABAMA,D-METHAMPHETAMINE,2009,197.64
75,ALABAMA,D-METHAMPHETAMINE,2010,161.88
76,ALABAMA,D-METHAMPHETAMINE,2011,73.92
77,ALABAMA,D-METHAMPHETAMINE,2012,29.32
78,ALABAMA,D-METHAMPHETAMINE,2013,16.07
79,ALABAMA,D-METHAMPHETAMINE,2014,1.61
80,ALABAMA,D-METHAMPHETAMINE,2015,24.1
81,ALABAMA,DIHYDROCODEINE,2006,7802.09
82,ALABAMA,DIHYDROCODEINE,2007,7610.6
83,ALABAMA,DIHYDROCODEINE,2008,10108.59
84,ALABAMA,DIHYDROCODEINE,2009,4750.97
85,ALABAMA,DIHYDROCODEINE,2010,4730.62
86,ALABAMA,DIHYDROCODEINE,2011,5613.17
87,ALABAMA,DIHYDROCODEINE,2012,3994
88,ALABAMA,DIHYDROCODEINE,2013,2236.49
89,ALABAMA,DIHYDROCODEINE,2014,181.91
90,ALABAMA,DIHYDROCODEINE,2015,2123.46
91,ALABAMA,DL-METHAMPHETAMINE RACEMIC BASE,2010,85.6
92,ALABAMA,DL-METHAMPHETAMINE RACEMIC BASE,2011,154.31
93,ALABAMA,DL-METHAMPHETAMINE RACEMIC BASE,2012,188.48
94,ALABAMA,DL-METHAMPHETAMINE RACEMIC BASE,2013,165.17
95,ALABAMA,DL-METHAMPHETAMINE RACEMIC BASE,2014,171.19
96,ALABAMA,DL-METHAMPHETAMINE RACEMIC BASE,2015,118.94
97,ALABAMA,FENTANYL BASE,2006,7465.41
98,ALABAMA,FENTANYL BASE,2007,8361.72
99,ALABAMA,FENTANYL BASE,2008,14638.46
100,ALABAMA,FENTANYL BASE,2009,8025.15
101,ALABAMA,FENTANYL BASE,2010,8726.24
102,ALABAMA,FENTANYL BASE,2011,8290.02
103,ALABAMA,FENTANYL BASE,2012,8611.63
104,ALABAMA,FENTANYL BASE,2013,8397.45
105,ALABAMA,FENTANYL BASE,2014,8488.82
106,ALABAMA,FENTANYL BASE,2015,8166.67
107,ALABAMA,GAMMA HYDROXYBUTYRIC ACID,2007,817.33
108,ALABAMA,GAMMA HYDROXYBUTYRIC ACID,2008,2080.52
109,ALABAMA,GAMMA HYDROXYBUTYRIC ACID(FDA APPROVED-CSA,2007,270
110,ALABAMA,GAMMA HYDROXYBUTYRIC ACID(FDA APPROVED-CSA,2014,1337.47
111,ALABAMA,HYDROCODON,2011,1359306.8
112,ALABAMA,HYDROCODONE,2006,893147.52
113,ALABAMA,HYDROCODONE,2007,1314490.89
114,ALABAMA,HYDROCODONE,2008,1893831.24
115,ALABAMA,HYDROCODONE,2009,1166405.16
116,ALABAMA,HYDROCODONE,2010,1230988.75
117,ALABAMA,HYDROCODONE,2012,2554830.65
118,ALABAMA,HYDROCODONE,2013,1383418.98
119,ALABAMA,HYDROCODONE,2014,1279134.24
120,ALABAMA,HYDROCODONE,2015,1165445.94
121,ALABAMA,HYDROMORPHONE,2006,7642.9
122,ALABAMA,HYDROMORPHONE,2007,9298.82
123,ALABAMA,HYDROMORPHONE,2008,18825.09
124,ALABAMA,HYDROMORPHONE,2009,12282.76
125,ALABAMA,HYDROMORPHONE,2010,14139.54
126,ALABAMA,HYDROMORPHONE,2011,16228.83
127,ALABAMA,HYDROMORPHONE,2012,18043.18
128,ALABAMA,HYDROMORPHONE,2013,19224.61
129,ALABAMA,HYDROMORPHONE,2014,19556.47
130,ALABAMA,HYDROMORPHONE,2015,17544.23
131,ALABAMA,LEVORPHANOL,2006,28.46
132,ALABAMA,LEVORPHANOL,2007,40.45
133,ALABAMA,LEVORPHANOL,2008,34.31
134,ALABAMA,LEVORPHANOL,2009,17.75
135,ALABAMA,LEVORPHANOL,2010,1.04
136,ALABAMA,LEVORPHANOL,2011,1.27
137,ALABAMA,LEVORPHANOL,2012,12.08
138,ALABAMA,LEVORPHANOL,2013,5.34
139,ALABAMA,LEVORPHANOL,2014,6.26
140,ALABAMA,LEVORPHANOL,2015,19.39
141,ALABAMA,LISDEXAMFETAMINE,2007,16407.76
142,ALABAMA,LISDEXAMFETAMINE,2008,116002.71
143,ALABAMA,LISDEXAMFETAMINE,2009,122161.2
144,ALABAMA,LISDEXAMFETAMINE,2010,154242.28
145,ALABAMA,LISDEXAMFETAMINE,2011,190521.19
146,ALABAMA,LISDEXAMFETAMINE,2012,225288.48
147,ALABAMA,LISDEXAMFETAMINE,2013,237223.19
148,ALABAMA,LISDEXAMFETAMINE,2014,247328.01
149,ALABAMA,LISDEXAMFETAMINE,2015,268578.9
150,ALABAMA,MEPERIDINE (PETHIDINE),2006,210434.94
151,ALABAMA,MEPERIDINE (PETHIDINE),2007,221023.36
152,ALABAMA,MEPERIDINE (PETHIDINE),2008,321907.79
153,ALABAMA,MEPERIDINE (PETHIDINE),2009,121566.3
154,ALABAMA,MEPERIDINE (PETHIDINE),2010,107701.82
155,ALABAMA,MEPERIDINE (PETHIDINE),2011,99465.76
156,ALABAMA,MEPERIDINE (PETHIDINE),2012,85674.76
157,ALABAMA,MEPERIDINE (PETHIDINE),2013,73185.57
158,ALABAMA,MEPERIDINE (PETHIDINE),2014,59035.48
159,ALABAMA,MEPERIDINE (PETHIDINE),2015,48354.74
160,ALABAMA,METHADONE,2006,298248.47
161,ALABAMA,METHADONE,2007,353208.96
162,ALABAMA,METHADONE,2008,569912.28
163,ALABAMA,METHADONE,2009,329018.85
164,ALABAMA,METHADONE,2010,331486.46
165,ALABAMA,METHADONE,2011,341859.88
166,ALABAMA,METHADONE,2012,387549.21
167,ALABAMA,METHADONE,2013,411939.14
168,ALABAMA,METHADONE,2014,390094.85
169,ALABAMA,METHADONE,2015,378587.75
170,ALABAMA,"METHYLONE (3,4-METHYLENEDIOXY-N-METHYLCATH",2012,0
171,ALABAMA,METHYLPHENIDATE,2006,285748.17
172,ALABAMA,METHYLPHENIDATE,2007,325845.04
173,ALABAMA,METHYLPHENIDATE,2008,480838.57
174,ALABAMA,METHYLPHENIDATE,2009,269779.33
175,ALABAMA,METHYLPHENIDATE,2010,274888.62
176,ALABAMA,METHYLPHENIDATE,2011,292756.64
177,ALABAMA,METHYLPHENIDATE (DL;D;L;ISOMERS),2012,299888.2
178,ALABAMA,METHYLPHENIDATE (DL;D;L;ISOMERS),2013,284489.97
179,ALABAMA,METHYLPHENIDATE (DL;D;L;ISOMERS),2014,295657.39
180,ALABAMA,METHYLPHENIDATE (DL;D;L;ISOMERS),2015,293180.26
181,ALABAMA,MORPHINE,2006,270715.42
182,ALABAMA,MORPHINE,2007,312182.37
183,ALABAMA,MORPHINE,2008,574173.86
184,ALABAMA,MORPHINE,2009,364144.49
185,ALABAMA,MORPHINE,2010,385126.56
186,ALABAMA,MORPHINE,2011,394621.9
187,ALABAMA,MORPHINE,2012,419405.57
188,ALABAMA,MORPHINE,2013,405163.87
189,ALABAMA,MORPHINE,2014,393205.96
190,ALABAMA,MORPHINE,2015,368097.37
191,ALABAMA,NABILONE,2006,0.22
192,ALABAMA,NABILONE,2007,0.22
193,ALABAMA,NABILONE,2010,1.96
194,ALABAMA,NABILONE,2011,2.5
195,ALABAMA,NABILONE,2012,0.95
196,ALABAMA,NABILONE,2014,0.2
197,ALABAMA,NABILONE,2015,0.15
198,ALABAMA,NALOXONE,2006,1311.12
199,ALABAMA,NALOXONE,2007,2658.6
200,ALABAMA,NOROXYMORPHONE,2011,15.04
201,ALABAMA,NOROXYMORPHONE,2014,0.98
202,ALABAMA,NOROXYMORPHONE,2015,5.53
203,ALABAMA,OPIUM COMBINATION PRODUCT (C-III),2013,90.82
204,ALABAMA,OPIUM POWDERED,2006,842.4
205,ALABAMA,OPIUM POWDERED,2007,453.6
206,ALABAMA,OPIUM POWDERED,2008,803.52
207,ALABAMA,OPIUM POWDERED,2009,475.2
208,ALABAMA,OPIUM POWDERED,2010,396.36
209,ALABAMA,OPIUM POWDERED,2011,397.44
210,ALABAMA,OPIUM POWDERED,2012,386.64
211,ALABAMA,OPIUM POWDERED,2013,418.68
212,ALABAMA,OPIUM POWDERED,2014,439.56
213,ALABAMA,OPIUM POWDERED,2015,370.8
214,ALABAMA,OXYCODONE,2006,533025.22
215,ALABAMA,OXYCODONE,2007,663978.94
216,ALABAMA,OXYCODONE,2008,1116362.74
217,ALABAMA,OXYCODONE,2009,684409.67
218,ALABAMA,OXYCODONE,2010,771484.11
219,ALABAMA,OXYCODONE,2011,902488.49
220,ALABAMA,OXYCODONE,2012,1003525.21
221,ALABAMA,OXYCODONE,2013,1008700.65
222,ALABAMA,OXYCODONE,2014,1087749.33
223,ALABAMA,OXYCODONE,2015,1119617.87
224,ALABAMA,OXYMORPHONE,2006,1002.38
225,ALABAMA,OXYMORPHONE,2007,7748.98
226,ALABAMA,OXYMORPHONE,2008,23453.55
227,ALABAMA,OXYMORPHONE,2009,18148.97
228,ALABAMA,OXYMORPHONE,2010,22813.48
229,ALABAMA,OXYMORPHONE,2011,29721.05
230,ALABAMA,OXYMORPHONE,2012,27362.25
231,ALABAMA,OXYMORPHONE,2013,33062.66
232,ALABAMA,OXYMORPHONE,2014,36971.23
233,ALABAMA,OXYMORPHONE,2015,38463.29
234,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2006,110392.54
235,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2007,125716.57
236,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2008,243958.65
237,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2009,117064.77
238,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2010,119438.48
239,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2011,122258
240,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2012,130878.49
241,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2013,112331.52
242,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2014,102227.48
243,ALABAMA,PENTOBARBITAL (SCHEDULE 2),2015,75092.16
244,ALABAMA,PHENCYCLIDINE (PCP),2011,0
245,ALABAMA,PHENDIMETRAZINE,2008,58.84
246,ALABAMA,REMIFENTANIL,2006,6.75
247,ALABAMA,REMIFENTANIL,2007,9.01
248,ALABAMA,REMIFENTANIL,2008,19.41
249,ALABAMA,REMIFENTANIL,2009,11.13
250,ALABAMA,REMIFENTANIL,2010,11.88
251,ALABAMA,REMIFENTANIL,2011,10.62
252,ALABAMA,REMIFENTANIL,2012,10.98
253,ALABAMA,REMIFENTANIL,2013,11.58
254,ALABAMA,REMIFENTANIL,2014,12.04
255,ALABAMA,REMIFENTANIL,2015,13.04
256,ALABAMA,SECOBARBITAL (SCHEDULE 2),2006,210.45
257,ALABAMA,SECOBARBITAL (SCHEDULE 2),2007,201.3
258,ALABAMA,SECOBARBITAL (SCHEDULE 2),2008,219.72
259,ALABAMA,SECOBARBITAL (SCHEDULE 2),2009,128.17
260,ALABAMA,SECOBARBITAL (SCHEDULE 2),2010,128.18
261,ALABAMA,SECOBARBITAL (SCHEDULE 2),2011,100.71
262,ALABAMA,SECOBARBITAL (SCHEDULE 2),2012,91.56
263,ALABAMA,SECOBARBITAL (SCHEDULE 2),2013,100.72
264,ALABAMA,SECOBARBITAL (SCHEDULE 2),2014,82.41
265,ALABAMA,SECOBARBITAL (SCHEDULE 2),2015,54.93
266,ALABAMA,SUFENTANIL BASE,2006,0.34
267,ALABAMA,SUFENTANIL BASE,2007,2.41
268,ALABAMA,SUFENTANIL BASE,2008,6.65
269,ALABAMA,SUFENTANIL BASE,2009,6.13
270,ALABAMA,SUFENTANIL BASE,2010,8.14
271,ALABAMA,SUFENTANIL BASE,2011,8.71
272,ALABAMA,SUFENTANIL BASE,2012,9.49
273,ALABAMA,SUFENTANIL BASE,2013,9.92
274,ALABAMA,SUFENTANIL BASE,2014,13.79
275,ALABAMA,SUFENTANIL BASE,2015,10.75
276,ALABAMA,TAPENTADOL,2009,28430.4
277,ALABAMA,TAPENTADOL,2010,101100.48
278,ALABAMA,TAPENTADOL,2011,211885.9
279,ALABAMA,TAPENTADOL,2012,257969.25
280,ALABAMA,TAPENTADOL,2013,249754
281,ALABAMA,TAPENTADOL,2014,242198
282,ALABAMA,TAPENTADOL,2015,256122
283,ALABAMA,TESTOSTERONE,2013,33.6
284,ALASKA,ALFENTANIL,2006,0.59
285,ALASKA,ALFENTANIL,2007,0.66
286,ALASKA,ALFENTANIL,2008,1.86
287,ALASKA,ALFENTANIL,2009,1.83
288,ALASKA,ALFENTANIL,2010,2.05
289,ALASKA,ALFENTANIL,2011,2.54
290,ALASKA,ALFENTANIL,2012,1.75
291,ALASKA,ALFENTANIL,2013,1.96
292,ALASKA,ALFENTANIL,2014,2.39
293,ALASKA,ALFENTANIL,2015,2.52
294,ALASKA,AMPHETAMINE,2006,13565.42
295,ALASKA,AMPHETAMINE,2007,13877.16
296,ALASKA,AMPHETAMINE,2008,26156.72
297,ALASKA,AMPHETAMINE,2009,17100.5
298,ALASKA,AMPHETAMINE,2010,18346.53
299,ALASKA,AMPHETAMINE,2011,19951.11
300,ALASKA,AMPHETAMINE,2012,23512.87
301,ALASKA,AMPHETAMINE,2013,23722.29
302,ALASKA,AMPHETAMINE,2014,26964.24
303,ALASKA,AMPHETAMINE,2015,28729.44
304,ALASKA,BARBITURIC ACID DERIVIATIVE OR SALT [PER 21CFR 1,2013,35
305,ALASKA,BUPRENORPHINE,2006,562.23
306,ALASKA,BUPRENORPHINE,2007,905.33
307,ALASKA,BUPRENORPHINE,2008,2991.81
308,ALASKA,BUPRENORPHINE,2009,2471.5
309,ALASKA,BUPRENORPHINE,2010,3009.21
310,ALASKA,BUPRENORPHINE,2011,4080.72
311,ALASKA,BUPRENORPHINE,2012,4985.55
312,ALASKA,BUPRENORPHINE,2013,6193.13
313,ALASKA,BUPRENORPHINE,2014,6774.5
314,ALASKA,BUPRENORPHINE,2015,7145.31
315,ALASKA,BUTALBITAL,2006,3600
316,ALASKA,BUTALBITAL,2007,3375
317,ALASKA,BUTALBITAL,2008,5360
318,ALASKA,BUTALBITAL,2009,3080
319,ALASKA,BUTALBITAL,2010,3866.5
320,ALASKA,BUTALBITAL,2011,4045
321,ALASKA,BUTALBITAL,2012,2905
322,ALASKA,BUTALBITAL,2013,2695
323,ALASKA,BUTALBITAL,2014,1899.75
324,ALASKA,BUTALBITAL,2015,1830
325,ALASKA,COCAINE,2006,136.93
326,ALASKA,COCAINE,2007,140.45
327,ALASKA,COCAINE,2008,182.26
328,ALASKA,COCAINE,2009,120.99
329,ALASKA,COCAINE,2010,141.04
330,ALASKA,COCAINE,2011,103.28
331,ALASKA,COCAINE,2012,117.85
332,ALASKA,COCAINE,2013,74.35
333,ALASKA,COCAINE,2014,82.39
334,ALASKA,COCAINE,2015,64.13
335,ALASKA,CODEINE,2006,44078.05
336,ALASKA,CODEINE,2007,43836.35
337,ALASKA,CODEINE,2008,76608.96
338,ALASKA,CODEINE,2009,41762.23
339,ALASKA,CODEINE,2010,40529.47
340,ALASKA,CODEINE,2011,39557.14
341,ALASKA,CODEINE,2012,36656.58
342,ALASKA,CODEINE,2013,33475.67
343,ALASKA,CODEINE,2014,32117.42
344,ALASKA,CODEINE,2015,33549.57
345,ALASKA,D-METHAMPHETAMINE,2006,23.6
346,ALASKA,D-METHAMPHETAMINE,2007,27.6
347,ALASKA,D-METHAMPHETAMINE,2008,64.68
348,ALASKA,D-METHAMPHETAMINE,2009,22.9
349,ALASKA,D-METHAMPHETAMINE,2010,21.28
350,ALASKA,D-METHAMPHETAMINE,2011,16.87
351,ALASKA,D-METHAMPHETAMINE,2012,8.44
352,ALASKA,D-METHAMPHETAMINE,2015,4.42
353,ALASKA,DIHYDROCODEINE,2006,3.19
354,ALASKA,DIHYDROCODEINE,2007,0.45
355,ALASKA,DIHYDROCODEINE,2008,23.52
356,ALASKA,DIHYDROCODEINE,2009,10.68
357,ALASKA,DIHYDROCODEINE,2010,2.14
358,ALASKA,DIHYDROCODEINE,2012,12.82
359,ALASKA,DIHYDROCODEINE,2013,2.14
360,ALASKA,DIHYDROCODEINE,2015,0.11
361,ALASKA,DL-METHAMPHETAMINE RACEMIC BASE,2010,1.61
362,ALASKA,DL-METHAMPHETAMINE RACEMIC BASE,2011,3.22
363,ALASKA,DL-METHAMPHETAMINE RACEMIC BASE,2012,6.03
364,ALASKA,DL-METHAMPHETAMINE RACEMIC BASE,2013,11.66
365,ALASKA,DL-METHAMPHETAMINE RACEMIC BASE,2014,5.22
366,ALASKA,DL-METHAMPHETAMINE RACEMIC BASE,2015,9.23
367,ALASKA,FENTANYL BASE,2006,1135.87
368,ALASKA,FENTANYL BASE,2007,1167.1
369,ALASKA,FENTANYL BASE,2008,2224.45
370,ALASKA,FENTANYL BASE,2009,1208.11
371,ALASKA,FENTANYL BASE,2010,1506.3
372,ALASKA,FENTANYL BASE,2011,1325.48
373,ALASKA,FENTANYL BASE,2012,1276.61
374,ALASKA,FENTANYL BASE,2013,1160.36
375,ALASKA,FENTANYL BASE,2014,1168.59
376,ALASKA,FENTANYL BASE,2015,1146.6
377,ALASKA,HYDROCODON,2011,67274.22
378,ALASKA,HYDROCODONE,2006,49102.73
379,ALASKA,HYDROCODONE,2007,54347.28
380,ALASKA,HYDROCODONE,2008,102588.44
381,ALASKA,HYDROCODONE,2009,61690.28
382,ALASKA,HYDROCODONE,2010,63550.89
383,ALASKA,HYDROCODONE,2012,68800.65
384,ALASKA,HYDROCODONE,2013,66570.34
385,ALASKA,HYDROCODONE,2014,63786.71
386,ALASKA,HYDROCODONE,2015,57789.7
387,ALASKA,HYDROMORPHONE,2006,1848.18
388,ALASKA,HYDROMORPHONE,2007,2253.13
389,ALASKA,HYDROMORPHONE,2008,4131.52
390,ALASKA,HYDROMORPHONE,2009,2995.83
391,ALASKA,HYDROMORPHONE,2010,2996.68
392,ALASKA,HYDROMORPHONE,2011,3446.24
393,ALASKA,HYDROMORPHONE,2012,3939.25
394,ALASKA,HYDROMORPHONE,2013,4476.68
395,ALASKA,HYDROMORPHONE,2014,4674.12
396,ALASKA,HYDROMORPHONE,2015,4630.96
397,ALASKA,LEVORPHANOL,2006,1.26
398,ALASKA,LEVORPHANOL,2007,4.7
399,ALASKA,LEVORPHANOL,2008,5.62
400,ALASKA,LEVORPHANOL,2014,1.63
401,ALASKA,LEVORPHANOL,2015,0.23
402,ALASKA,LISDEXAMFETAMINE,2007,194
403,ALASKA,LISDEXAMFETAMINE,2008,2169.63
404,ALASKA,LISDEXAMFETAMINE,2009,2186.94
405,ALASKA,LISDEXAMFETAMINE,2010,3103.83
406,ALASKA,LISDEXAMFETAMINE,2011,4221.87
407,ALASKA,LISDEXAMFETAMINE,2012,5235.85
408,ALASKA,LISDEXAMFETAMINE,2013,6118.61
409,ALASKA,LISDEXAMFETAMINE,2014,7354.58
410,ALASKA,LISDEXAMFETAMINE,2015,8415.98
411,ALASKA,MEPERIDINE (PETHIDINE),2006,18624.55
412,ALASKA,MEPERIDINE (PETHIDINE),2007,15047.22
413,ALASKA,MEPERIDINE (PETHIDINE),2008,24184.56
414,ALASKA,MEPERIDINE (PETHIDINE),2009,9576.58
415,ALASKA,MEPERIDINE (PETHIDINE),2010,8618.16
416,ALASKA,MEPERIDINE (PETHIDINE),2011,8186.64
417,ALASKA,MEPERIDINE (PETHIDINE),2012,6501.03
418,ALASKA,MEPERIDINE (PETHIDINE),2013,5324.4
419,ALASKA,MEPERIDINE (PETHIDINE),2014,4501.12
420,ALASKA,MEPERIDINE (PETHIDINE),2015,3920.33
421,ALASKA,METHADONE,2006,35494.61
422,ALASKA,METHADONE,2007,36620.51
423,ALASKA,METHADONE,2008,58824.88
424,ALASKA,METHADONE,2009,33099.27
425,ALASKA,METHADONE,2010,32657.76
426,ALASKA,METHADONE,2011,31464.81
427,ALASKA,METHADONE,2012,29970.54
428,ALASKA,METHADONE,2013,29132.4
429,ALASKA,METHADONE,2014,30622.64
430,ALASKA,METHADONE,2015,34799.13
431,ALASKA,METHYLPHENIDATE,2006,29682.27
432,ALASKA,METHYLPHENIDATE,2007,29258.85
433,ALASKA,METHYLPHENIDATE,2008,51524.62
434,ALASKA,METHYLPHENIDATE,2009,31195.61
435,ALASKA,METHYLPHENIDATE,2010,32309.46
436,ALASKA,METHYLPHENIDATE,2011,33584.84
437,ALASKA,METHYLPHENIDATE (DL;D;L;ISOMERS),2012,34761.96
438,ALASKA,METHYLPHENIDATE (DL;D;L;ISOMERS),2013,32257.06
439,ALASKA,METHYLPHENIDATE (DL;D;L;ISOMERS),2014,33198.37
440,ALASKA,METHYLPHENIDATE (DL;D;L;ISOMERS),2015,33003.97
441,ALASKA,MORPHINE,2006,59680.52
442,ALASKA,MORPHINE,2007,60243.26
443,ALASKA,MORPHINE,2008,107372.94
444,ALASKA,MORPHINE,2009,62793.63
445,ALASKA,MORPHINE,2010,62931.84
446,ALASKA,MORPHINE,2011,65354.4
447,ALASKA,MORPHINE,2012,64146.56
448,ALASKA,MORPHINE,2013,63298.51
449,ALASKA,MORPHINE,2014,58353.45
450,ALASKA,MORPHINE,2015,57353.54
451,ALASKA,NABILONE,2009,0.06
452,ALASKA,NABILONE,2013,0.05
453,ALASKA,NALOXONE,2006,117.9
454,ALASKA,NALOXONE,2007,208.62
455,ALASKA,OPIUM COMBINATION PRODUCT (C-III),2013,1.14
456,ALASKA,OPIUM POWDERED,2006,179.64
457,ALASKA,OPIUM POWDERED,2007,128.88
458,ALASKA,OPIUM POWDERED,2008,279
459,ALASKA,OPIUM POWDERED,2009,248.4
460,ALASKA,OPIUM POWDERED,2010,238.32
461,ALASKA,OPIUM POWDERED,2011,258.48
462,ALASKA,OPIUM POWDERED,2012,266.76
463,ALASKA,OPIUM POWDERED,2013,158.76
464,ALASKA,OPIUM POWDERED,2014,167.76
465,ALASKA,OPIUM POWDERED,2015,97.56
466,ALASKA,OXYCODONE,2006,96715.48
467,ALASKA,OXYCODONE,2007,102905.9
468,ALASKA,OXYCODONE,2008,199321.89
469,ALASKA,OXYCODONE,2009,121432.7
470,ALASKA,OXYCODONE,2010,129273.6
471,ALASKA,OXYCODONE,2011,138885.71
472,ALASKA,OXYCODONE,2012,147022.57
473,ALASKA,OXYCODONE,2013,144344.35
474,ALASKA,OXYCODONE,2014,146999.22
475,ALASKA,OXYCODONE,2015,152632.79
476,ALASKA,OXYMORPHONE,2006,48.07
477,ALASKA,OXYMORPHONE,2007,140.65
478,ALASKA,OXYMORPHONE,2008,547.79
479,ALASKA,OXYMORPHONE,2009,772.34
480,ALASKA,OXYMORPHONE,2010,1142.35
481,ALASKA,OXYMORPHONE,2011,1149.46
482,ALASKA,OXYMORPHONE,2012,1272.35
483,ALASKA,OXYMORPHONE,2013,1220.31
484,ALASKA,OXYMORPHONE,2014,1079.75
485,ALASKA,OXYMORPHONE,2015,1215.08
486,ALASKA,PENTOBARBITAL (SCHEDULE 2),2006,22213.41
487,ALASKA,PENTOBARBITAL (SCHEDULE 2),2007,26829.84
488,ALASKA,PENTOBARBITAL (SCHEDULE 2),2008,39972.15
489,ALASKA,PENTOBARBITAL (SCHEDULE 2),2009,19400.88
490,ALASKA,PENTOBARBITAL (SCHEDULE 2),2010,16548.84
491,ALASKA,PENTOBARBITAL (SCHEDULE 2),2011,19775.1
492,ALASKA,PENTOBARBITAL (SCHEDULE 2),2012,19426.04
493,ALASKA,PENTOBARBITAL (SCHEDULE 2),2013,21762.41
494,ALASKA,PENTOBARBITAL (SCHEDULE 2),2014,16716.89
495,ALASKA,PENTOBARBITAL (SCHEDULE 2),2015,20816.83
496,ALASKA,REMIFENTANIL,2006,4.33
497,ALASKA,REMIFENTANIL,2007,4.67
498,ALASKA,REMIFENTANIL,2008,12.18
499,ALASKA,REMIFENTANIL,2009,6.51
500,ALASKA,REMIFENTANIL,2010,6.25
